(462mm) [Debug/Log] created directories
(4051mm) [Debug/Log] depot downloader has been successfully loaded - C:\Users\chips\AppData\Local\Temp\DropshipDepotDownloader.exe
(4217mm) [Debug/Log] Loading login data..
(4736mm) [Debug/Log] registering commands...
(4747mm) [Debug/Log] registered "password" command
(4751mm) [Debug/Log] registered "remember_login" command
(4758mm) [Debug/Log] registered "username" command
(4766mm) [Debug/Log] registered "amonglist" command
(4770mm) [Debug/Log] registered "create_profile" command
(4781mm) [Debug/Log] registered "debug" command
(4797mm) [Debug/Log] registered "download_among" command
(4803mm) [Debug/Log] registered "download_custom_among" command
(4821mm) [Debug/Log] registered "download_custom_mod" command
(4849mm) [Debug/Log] registered "download_mod" command
(4862mm) [Debug/Log] registered "help" command
(4870mm) [Debug/Log] registered "modlist" command
(4886mm) [Debug/Log] registered "play_mod" command
(4888mm) [Debug/Log] registered "play_vanilla" command
